Model,Accuracy,Precision,Recall,F1,ROC-AUC
Logistic Regression,0.643859649122807,0.6331168831168831,0.6842105263157895,0.657672849915683,0.6939612188365651
Random Forest,0.7596491228070176,0.7681159420289855,0.743859649122807,0.7557932263814616,0.8326500461680516
Tuned Random Forest,0.7526315789473684,0.7482758620689656,0.7614035087719299,0.7547826086956522,0.8197353031702062
