feature,importance
hydrophobic_fraction,0.07183832722409339
aa_S,0.06446652916517986
positive_fraction,0.05678950590470823
aa_H,0.050357576378262416
aa_V,0.048258623487391364
molecular_weight_proxy,0.047048169397788796
aa_D,0.04381727874751327
sequence_length,0.04254918949321895
aa_G,0.04202023010952461
aa_I,0.038863742072481104
aromatic_fraction,0.03715153851824858
aa_W,0.036702632310333244
aa_L,0.03499825266289964
aa_T,0.03377184389800962
aa_Q,0.033531829556051815
negative_fraction,0.03223371526152845
aa_C,0.03207668970935343
aa_F,0.03184925015814481
aa_K,0.03069102804152868
aa_Y,0.030344800075424883
aa_P,0.029706654605693973
aa_E,0.027476512746720232
aa_M,0.027009740135975513
aa_N,0.0264226330602093
aa_R,0.025529334759612134
aa_A,0.024494372520103818
